id,sgk_ocak_2012,sgk_agu_2013,sgk_agu_2013_gelir
65211023,0.0,0.0,0.0
67289007,0.0,1.0,1089.58
64298044,1.0,1.0,211.11
68405017,0.0,0.0,0.0
68302041,1.0,1.0,1021.5
64247026,0.0,0.0,0.0
65240049,0.0,1.0,2307.67
66922059,1.0,1.0,2000.0
68302043,1.0,0.0,0.0
64345019,1.0,1.0,34.05
60409013,1.0,1.0,1088.54
68357022,0.0,0.0,0.0
65358082,0.0,0.0,0.0
64186015,1.0,0.0,0.0
66837006,0.0,0.0,0.0
66837006,0.0,0.0,0.0
64300004,0.0,0.0,0.0
62617026,1.0,1.0,136.5
65240087,1.0,0.0,0.0
65042042,1.0,1.0,1792.63
67700037,1.0,1.0,1275.59
66809029,0.0,1.0,1089.6
68441028,0.0,0.0,0.0
64431028,0.0,0.0,0.0
65986019,0.0,0.0,0.0
67703008,0.0,1.0,2081.54
66922058,0.0,1.0,1021.5
65687020,1.0,1.0,1150.0
65179024,1.0,0.0,0.0
64345022,1.0,1.0,1864.78
64364004,1.0,0.0,0.0
64186035,1.0,0.0,0.0
67573039,1.0,1.0,170.25
64298035,1.0,1.0,1055.55
66303023,0.0,0.0,0.0
65358063,0.0,0.0,0.0
65358096,0.0,1.0,340.5
65358045,0.0,0.0,0.0
64372020,1.0,1.0,1560.5
65480007,0.0,1.0,1594.27
67683030,0.0,1.0,1050.0
64209026,1.0,1.0,1094.18
65987003,1.0,0.0,0.0
65984027,0.0,0.0,0.0
68097075,0.0,1.0,1203.14
68304014,0.0,0.0,0.0
65358178,0.0,0.0,0.0
64329030,1.0,1.0,1021.5
61177026,0.0,0.0,0.0
65984070,0.0,0.0,0.0
64068026,0.0,1.0,1021.5
62617028,1.0,1.0,1420.0
64284028,0.0,0.0,0.0
66809004,1.0,1.0,1021.5
67407018,1.0,1.0,2057.29
66837006,0.0,0.0,0.0
64337022,0.0,0.0,0.0
64283017,1.0,1.0,1023.35
65293035,0.0,0.0,0.0
64186016,0.0,0.0,0.0
67032030,0.0,0.0,0.0
68402027,0.0,0.0,0.0
65179018,1.0,1.0,2475.94
65358077,0.0,0.0,0.0
64263040,0.0,1.0,1021.5
64260038,0.0,0.0,0.0
64244036,0.0,1.0,1021.5
65436022,0.0,0.0,0.0
67034030,0.0,0.0,0.0
65240073,1.0,1.0,2171.65
