id,kurs_tamamlama_durumu,kursa_katilim_gun_sayisi,CP_c12,CP_c13
64373033,Yes,41.0,,
64343021,No,1.0,,
64264018,,,,
66922042,No,,,
64282028,Yes,35.0,,
65753045,Yes,65.0,,
67460049,Yes,80.0,,
64297002,,,,
64186044,Yes,56.0,,
65043023,,,,
66922008,,,,
65358067,,,,
65240077,Yes,27.0,,
65358098,,,,
67683037,Yes,,,
68304081,Yes,53.0,,
67845032,Yes,57.0,,
64347009,,,,
64431010,,,,
64336046,No,,,
65211031,Yes,25.0,,
67845024,,,,
65883007,,,,
65493016,,,,
64354027,Yes,27.0,,
65459025,Yes,52.0,,
68158036,,,,
65496013,,,,
67683038,Yes,31.0,,
68233005,,,,
67034069,No,,,
65434025,No,5.0,,
64352039,Yes,31.0,,
64244001,Yes,68.0,,
67683050,Yes,31.0,,
68444004,,,,
65987006,,,,
65493020,,,,
65461029,Yes,13.0,,
68304031,,,,
65358156,Yes,61.0,,
65232007,,,,
68444047,Yes,37.0,,
65240118,No,,,
67683002,,,,
67577047,No,,,
64263050,Yes,53.0,,
68444033,No,,,
65984060,,,,
66837042,Yes,80.0,,
66809049,Yes,78.0,,
64358002,,,,
65883020,,,,
64357090,Yes,35.0,,
64186026,Yes,53.0,,
64357066,Yes,35.0,,
67577036,Yes,79.0,,
64357061,No,,,
68386019,,,,
64337043,Yes,29.0,,
67034080,Yes,59.0,,
68158018,,,,
68158007,,,,
67786025,,,,
67577041,No,,,
67032028,,,,
67700017,,,,
65476031,No,,,
64352030,Yes,31.0,,
65687012,,,,
65883027,Yes,28.0,,
64336013,,,,
66837033,Yes,80.0,,
64336001,,,,
64295038,Yes,55.0,,
67579016,,,,
64357049,,,,
64297033,Yes,45.0,,
66451048,Yes,100.0,,
67289009,,,,
65883032,Yes,30.0,,
68449047,Yes,28.0,,
64247016,,,,
68402011,,,,
65294005,,,,
65179027,Yes,52.0,,
65480017,No,,,
64186017,,,,
67460041,Yes,80.0,,
65986004,,,,
68158019,,,,
64296046,Yes,55.0,,
67826020,,,,
66382038,No,,,
68304088,Yes,53.0,,
65686004,,,,
61177033,Yes,25.0,,
68444014,,,,
64248010,,,,
65043009,,,,
66837006,,,,
65753034,Yes,63.0,,
64273001,,,,
64338020,,,,
67460016,,,,
65493040,Yes,123.0,,
64353038,Yes,33.0,,
64354025,No,20.0,,
65749001,,,,
65882011,,,,
60984023,No,,,
66451023,,,,
64282013,,,,
65240111,Yes,26.0,,
64283039,No,,,
64283035,No,,,
64361008,,,,
65294022,Yes,33.0,,
65481013,,,,
65211019,Yes,25.0,,
65749023,Yes,122.0,,
64354014,,,,
64281030,No,,,
67683003,,,,
68119024,Yes,27.0,,
68402001,,,,
65497023,Yes,58.0,,
65358048,,,,
67034072,Yes,58.0,,
65753049,Yes,64.0,,
64345012,,,,
64209009,,,,
65461009,,,,
68302021,,,,
65232012,Yes,52.0,,
68357005,,,,
66891001,,,,
67032029,,,,
64068015,,,,
64346039,Yes,35.0,,
64344016,,,,
64329010,,,,
66922033,,,,
66891020,,,,
65474024,Yes,58.0,,
65497019,Yes,55.0,,
65240059,,,,
59026030,Yes,73.0,,
68097054,Yes,60.0,,
64295011,,,,
66542025,Yes,20.0,,
65358149,Yes,61.0,,
67799050,Yes,7.0,,
68302032,,,,
64282003,,,,
67034054,Yes,60.0,,
67843042,Yes,,,
64298028,Yes,,,
64358020,No,,,
67803027,Yes,83.0,,
64295044,Yes,60.0,,
67573005,,,,
65240117,Yes,26.0,,
60983004,,,,
68096037,No,,,
65984008,,,,
68402028,Yes,50.0,,
65496014,,,,
63066011,,,,
66922076,Yes,20.0,,
65481015,,,,
66451006,,,,
65986016,,,,
65293034,Yes,30.0,,
64282026,No,,,
65686040,Yes,75.0,,
64431031,Yes,25.0,,
68233040,Yes,67.0,,
66303013,,,,
68386014,,,,
64337015,,,,
64344041,Yes,29.0,,
68119019,Yes,27.0,,
64260011,,,,
60409024,,,,
67032050,Yes,50.0,,
65480006,,,,
61177031,Yes,25.0,,
64281030,No,,,
67826010,,,,
68302052,Yes,33.0,,
65240066,Yes,27.0,,
68119025,Yes,27.0,,
68097016,,,,
66382009,,,,
64296021,,,,
65686017,,,,
66809042,No,,,
66303002,,,,
64353019,,,,
64298024,,,,
60983026,No,,,
64353008,,,,
64283002,,,,
68233036,Yes,71.0,,
64298014,,,,
68097038,,,,
68233032,Yes,43.0,,
68119023,Yes,27.0,,
68357010,,,,
67683010,,,,
65042041,Yes,64.0,,
68386049,Yes,36.0,,
64361009,,,,
64295010,,,,
66542012,,,,
64346025,Yes,35.0,,
67032018,,,,
67700039,Yes,48.0,,
68304019,,,,
67842034,Yes,54.0,,
66451037,No,,,
68097052,Yes,60.0,,
65436011,,,,
68302029,,,,
64298045,Yes,96.0,,
65293003,,,,
64356012,,,,
65686001,,,,
65240028,,,,
68304075,Yes,53.0,,
67573014,,,,
64248023,Yes,32.0,,
65687038,Yes,74.0,,
64174033,Yes,55.0,,
64282037,Yes,35.0,,
65986024,No,14.0,,
65476034,Yes,95.0,,
65358059,,,,
68158049,Yes,50.0,,
65358069,,,,
67034011,,,,
64247008,,,,
67700029,Yes,48.0,,
67703013,,,,
68158032,,,,
64262003,,,,
67289065,Yes,60.0,,
67289066,No,,,
64347019,No,,,
65461010,,,,
68357019,,,,
64373010,,,,
68302057,Yes,33.0,,
68405049,Yes,79.0,,
67289042,Yes,60.0,,
64346017,,,,
64357098,No,,,
64068020,,,,
68386022,,,,
64352037,No,13.0,,
64336032,Yes,31.0,,
67803005,,,,
68232014,,,,
68301002,,,,
64336017,,,,
67845050,Yes,,,
67845045,Yes,57.0,,
65476026,Yes,95.0,,
68449003,,,,
65358088,,,,
66303025,Yes,30.0,,
64344029,No,,,
65476004,,,,
67577039,Yes,79.0,,
66086028,Yes,111.0,,
68386016,,,,
64244023,Yes,78.0,,
64263027,Yes,52.0,,
67803015,,,,
66837006,,,,
65294031,Yes,33.0,,
68232001,,,,
64262045,Yes,51.0,,
64352029,Yes,31.0,,
60984024,Yes,,,
68096031,Yes,53.0,,
64296049,Yes,52.0,,
64356009,,,,
68444022,,,,
68304061,Yes,53.0,,
68233043,,,,
65211028,Yes,25.0,,
68405044,No,,,
64262041,No,,,
68097040,,,,
68386011,,,,
64345010,,,,
68233009,,,,
68097068,No,,,
67845017,,,,
65459007,,,,
64248030,Yes,32.0,,
64283034,No,,,
66542026,Yes,19.0,,
65496010,,,,
68119012,,,,
67683032,Yes,31.0,,
65461003,,,,
65749020,,,,
67842030,No,,,
65293017,,,,
60929026,Yes,58.0,,
65436030,Yes,65.0,,
65240056,,,,
67289012,,,,
65358117,Yes,61.0,,
65293024,Yes,29.0,,
63066031,No,41.0,,
68386017,,,,
66809044,Yes,76.0,,
67032026,,,,
64209004,,,,
66542027,Yes,20.0,,
64336040,Yes,31.0,,
66837040,No,,,
66382019,,,,
67579015,,,,
65358125,Yes,61.0,,
64281033,Yes,78.0,,
65984025,,,,
64356005,,,,
64356040,Yes,28.0,,
65988033,Yes,53.0,,
65984085,No,,,
65358165,No,,,
65481029,Yes,58.0,,
68097033,,,,
65358143,Yes,61.0,,
65753035,Yes,55.0,,
68304071,Yes,53.0,,
64352008,,,,
67786036,No,6.0,,
68402022,,,,
63066034,No,,,
66086041,Yes,103.0,,
64067033,Yes,32.0,,
67700036,Yes,47.0,,
65211005,,,,
62617011,,,,
64347018,No,,,
64273025,Yes,33.0,,
68402030,Yes,50.0,,
65358006,,,,
65211015,,,,
64244021,No,,,
61177021,Yes,24.0,,
67407013,,,,
64296022,,,,
67799016,,,,
65358190,Yes,61.0,,
64296045,Yes,56.0,,
64346028,Yes,32.0,,
67573025,,,,
68405009,,,,
67460018,,,,
65240101,No,,,
64346014,,,,
64358005,,,,
68357047,Yes,53.0,,
60983008,,,,
64296007,,,,
67577012,,,,
64431013,,,,
68304076,Yes,53.0,,
66542008,,,,
67845039,Yes,57.0,,
67034023,,,,
64260048,Yes,59.0,,
68301042,Yes,53.0,,
65687035,Yes,75.0,,
65043050,Yes,36.0,,
64263047,Yes,52.0,,
64392012,,,,
64236008,,,,
64296042,Yes,55.0,,
65358106,No,,,
65211027,Yes,24.0,,
66837006,,,,
65043026,Yes,36.0,,
67842033,No,45.0,,
68444007,,,,
67407046,Yes,88.0,,
64264031,No,3.0,,
68302020,,,,
65988001,,,,
68449048,Yes,28.0,,
68119006,,,,
64282032,Yes,34.0,,
68304084,Yes,53.0,,
66837006,,,,
66809023,,,,
64262046,Yes,58.0,,
64209030,Yes,93.0,,
67843008,,,,
64247028,Yes,80.0,,
65987034,Yes,53.0,,
66264013,,,,
68119022,Yes,27.0,,
65686022,No,,,
60984020,No,,,
64263041,Yes,53.0,,
67460023,,,,
66382011,,,,
67032064,Yes,50.0,,
63066036,Yes,55.0,,
64431024,,,,
64068016,,,,
65436006,,,,
67799040,Yes,7.0,,
65358175,No,,,
67799013,,,,
65986017,,,,
68444037,Yes,37.0,,
64247031,Yes,79.0,,
64337023,,,,
68386015,,,,
66542004,,,,
67683046,Yes,,,
65497011,,,,
67579033,No,,,
64263005,,,,
65753025,,,,
66837006,,,,
65474006,,,,
65461013,,,,
65480011,,,,
65459005,,,,
65984047,,,,
68302017,,,,
64352010,,,,
68405026,Yes,77.0,,
65988002,,,,
63066006,,,,
64174005,,,,
65984107,Yes,93.0,,
66891028,Yes,92.0,,
65753022,,,,
66264019,No,,,
68357030,Yes,53.0,,
64373030,Yes,46.0,,
64067046,Yes,32.0,,
66542029,Yes,20.0,,
64431038,Yes,27.0,,
65358014,,,,
65496007,,,,
64297009,Yes,47.0,,
65988021,,,,
66837006,,,,
65988029,Yes,53.0,,
65986021,Yes,53.0,,
67803035,Yes,85.0,,
68096040,Yes,57.0,,
64352019,,,,
65753009,,,,
66451026,Yes,99.0,,
66837006,,,,
67826012,,,,
64373004,,,,
68405037,Yes,79.0,,
64372023,Yes,67.0,,
67826036,No,,,
64336024,,,,
66891027,No,6.0,,
68304046,,,,
65497009,,,,
64373037,No,13.0,,
65687014,,,,
68357042,Yes,53.0,,
66891034,No,,,
64431002,,,,
67579020,,,,
65459009,,,,
68096022,Yes,57.0,,
67288001,,,,
65984117,Yes,93.0,,
66837006,,,,
65434030,No,,,
64343024,Yes,32.0,,
66382010,,,,
67032046,Yes,50.0,,
67799047,Yes,7.0,,
67700049,Yes,48.0,,
65293033,Yes,30.0,,
64262022,,,,
65358041,,,,
67289035,,,,
65984109,Yes,93.0,,
64263036,Yes,53.0,,
64330020,,,,
67826022,,,,
67579023,,,,
66382041,No,,,
64281031,Yes,77.0,,
64209031,Yes,99.0,,
64281003,,,,
65882008,,,,
68158034,,,,
64337012,,,,
66837006,,,,
64352031,Yes,31.0,,
64281030,No,,,
64357065,Yes,35.0,,
64284005,,,,
65042037,Yes,64.0,,
67034035,,,,
66837041,Yes,80.0,,
67803043,Yes,88.0,,
65988038,Yes,54.0,,
64273028,Yes,33.0,,
64352023,Yes,30.0,,
64337020,,,,
66837006,,,,
64329014,,,,
61177034,Yes,23.0,,
