id,grup,takip_anket_tarih,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_20_saat_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,takip_kurs_yeni_yetenekler_ogretti,takip_kurs_yeteneklerimi_sertifikaladi,takip_kurs_is_bulmam_icin_strateji_ogretti,takip_egitimi_kim_verdi
68158015,Kontrol,2012-03-01,1.0,1.0,1.0,,,,,,,
68096034,Deney,2012-03-03,1.0,0.0,,0.0,56.0,400.0,1.0,1.0,1.0,İŞKUR
66922035,Kontrol,2012-03-01,1.0,0.0,,,,,,,,
67032033,Kontrol,2012-03-03,1.0,1.0,1.0,1.0,50.0,713.0,,,,
68097038,Kontrol,2012-03-01,1.0,1.0,1.0,1.0,55.0,900.0,,,,
65179011,Kontrol,2012-03-04,1.0,0.0,,0.0,60.0,900.0,,,,
66809016,Kontrol,2012-03-01,1.0,0.0,,,,,,,,
64263022,Kontrol,2012-03-02,1.0,0.0,,,,,,,,
68449027,Deney,2012-03-04,1.0,1.0,1.0,1.0,45.0,1200.0,,,,
68097078,Deney,2012-03-01,1.0,1.0,1.0,,,,1.0,1.0,0.0,İŞKUR
65436008,Kontrol,2012-03-01,1.0,1.0,1.0,1.0,48.0,900.0,,,,
65358018,Kontrol,2012-03-01,1.0,0.0,,,,,1.0,1.0,1.0,Kamu
68158080,Deney,2012-03-05,1.0,1.0,0.0,1.0,54.0,1000.0,1.0,1.0,0.0,İŞKUR
66922008,Kontrol,2012-03-01,1.0,0.0,,1.0,54.0,800.0,1.0,1.0,1.0,Kamu
65358036,Kontrol,2012-03-01,1.0,0.0,,,,,,,,
65358032,Kontrol,2012-03-01,1.0,0.0,,,,,,,,
65358126,Deney,2012-03-05,1.0,1.0,1.0,0.0,40.0,700.0,1.0,1.0,1.0,İŞKUR
64361008,Kontrol,2012-03-01,1.0,1.0,1.0,0.0,40.0,370.0,,,,
65496029,Deney,2012-03-01,1.0,0.0,,1.0,50.0,700.0,1.0,1.0,1.0,İŞKUR
