id,grup,takip_anket_tarih,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_20_saat_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,takip_kurs_yeni_yetenekler_ogretti,takip_kurs_yeteneklerimi_sertifikaladi,takip_kurs_is_bulmam_icin_strateji_ogretti,takip_egitimi_kim_verdi
65434030,Deney,2012-02-02,1.0,1.0,1.0,1.0,70.0,1600.0,,,,
68301016,Kontrol,2012-02-11,1.0,0.0,,1.0,56.0,750.0,,,,
67289023,Kontrol,2012-02-10,1.0,0.0,,0.0,55.0,4100.0,,,,
64354030,Deney,2012-02-16,1.0,0.0,,,,,,,,
66809010,Kontrol,2012-02-03,1.0,0.0,,0.0,60.0,350.0,0.0,1.0,1.0,İŞKUR
66809005,Kontrol,2012-02-01,1.0,0.0,,,,,,,,
64431040,Deney,2012-02-13,1.0,1.0,1.0,1.0,54.0,1700.0,1.0,1.0,1.0,İŞKUR
67032028,Kontrol,2012-02-29,1.0,1.0,1.0,1.0,54.0,,,,,
66837026,Deney,2012-02-29,1.0,1.0,1.0,1.0,70.0,900.0,1.0,1.0,0.0,İŞKUR
68158077,Deney,2012-02-24,1.0,1.0,0.0,1.0,66.0,700.0,,,,
67407038,Deney,2012-02-20,1.0,1.0,0.0,,,,,,,
64330021,Deney,2012-02-06,1.0,0.0,,,,,1.0,0.0,1.0,İŞKUR
65043036,Deney,2012-02-23,1.0,1.0,1.0,1.0,45.0,900.0,1.0,1.0,1.0,İŞKUR
66303027,Deney,2012-02-02,1.0,0.0,,1.0,56.0,,0.0,1.0,0.0,İŞKUR
64361009,Kontrol,2012-02-28,1.0,0.0,,0.0,60.0,,,,,
67577028,Deney,2012-02-22,1.0,1.0,1.0,1.0,45.0,1000.0,,,,
65434007,Kontrol,2012-02-10,1.0,0.0,,1.0,60.0,600.0,1.0,1.0,1.0,
68096036,Deney,2012-02-07,1.0,1.0,0.0,1.0,55.0,701.0,0.0,1.0,1.0,İŞKUR
64343020,Kontrol,2012-02-29,1.0,1.0,1.0,0.0,72.0,700.0,,,,
64357067,Deney,2012-02-22,1.0,1.0,1.0,1.0,48.0,850.0,,,,
64283008,Kontrol,2012-02-14,1.0,1.0,1.0,1.0,50.0,1000.0,,,,
67032005,Kontrol,2012-02-14,1.0,0.0,,0.0,45.0,700.0,,,,
67034039,Kontrol,2012-02-19,1.0,1.0,0.0,,,,,,,
67288032,Deney,2012-02-02,1.0,1.0,1.0,1.0,45.0,680.0,0.0,1.0,0.0,İŞKUR
64373038,Deney,2012-02-14,1.0,0.0,,,,,,,,
64186049,Deney,2012-02-24,1.0,1.0,1.0,1.0,60.0,1300.0,1.0,1.0,0.0,İŞKUR
64284011,Kontrol,2012-02-02,1.0,0.0,,1.0,40.0,1600.0,,,,
64345004,Kontrol,2012-02-09,1.0,1.0,1.0,1.0,45.0,750.0,,,,
64282021,Deney,2012-02-15,1.0,1.0,1.0,1.0,45.0,750.0,,,,
67034065,Deney,2012-02-06,1.0,0.0,,,,,1.0,1.0,1.0,İşveren
68097045,Deney,2012-02-16,1.0,1.0,1.0,1.0,45.0,1000.0,1.0,1.0,1.0,Özel
66922025,Kontrol,2012-02-08,1.0,1.0,1.0,1.0,35.0,2000.0,,,,
66264021,Deney,2012-02-04,1.0,1.0,1.0,0.0,70.0,750.0,0.0,1.0,0.0,İŞKUR
65232024,Deney,2012-02-02,1.0,0.0,,1.0,45.0,850.0,1.0,1.0,0.0,İŞKUR
64283027,Deney,2012-02-16,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
66086041,Deney,2012-02-10,1.0,0.0,,0.0,60.0,900.0,1.0,1.0,1.0,İŞKUR
67034071,Deney,2012-02-12,1.0,1.0,1.0,1.0,48.0,700.0,1.0,1.0,1.0,İŞKUR
64344039,Deney,2012-02-08,1.0,0.0,,1.0,30.0,800.0,,,,
65043042,Deney,2012-02-24,1.0,1.0,1.0,1.0,51.0,950.0,1.0,1.0,1.0,İŞKUR
66922031,Kontrol,2012-02-23,1.0,1.0,0.0,,,,,,,
65358083,Kontrol,2012-02-02,1.0,0.0,,,,,,,,
64174018,Kontrol,2012-02-21,1.0,1.0,0.0,,,,,,,
66451008,Kontrol,2012-02-21,1.0,0.0,,,,,,,,
64338017,Kontrol,2012-02-18,1.0,1.0,1.0,1.0,56.0,830.0,,,,
64067019,Kontrol,2012-02-07,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
68405042,Deney,2012-02-11,1.0,0.0,,,,,,,,
65358048,Kontrol,2012-02-02,1.0,0.0,,,,,,,,
65493017,Kontrol,2012-02-12,1.0,0.0,,,,,,,,
65358100,Kontrol,2012-02-02,1.0,0.0,,,,,,,,
64343033,Deney,2012-02-22,1.0,1.0,1.0,0.0,25.0,,1.0,0.0,1.0,İŞKUR
64373005,Kontrol,2012-02-01,1.0,1.0,1.0,1.0,65.0,1000.0,,,,
68158054,Deney,2012-02-25,1.0,1.0,1.0,1.0,60.0,1000.0,,,,
66922027,Kontrol,2012-02-23,1.0,1.0,1.0,1.0,45.0,970.0,,,,
68097001,Kontrol,2012-02-23,1.0,1.0,1.0,1.0,60.0,900.0,,,,
65042048,Deney,2012-02-24,1.0,0.0,,0.0,,,1.0,1.0,1.0,İŞKUR
67407044,Deney,2012-02-18,1.0,1.0,1.0,1.0,48.0,1000.0,,,,
64372001,Kontrol,2012-02-23,1.0,1.0,1.0,1.0,48.0,700.0,,,,
64264016,Kontrol,2012-02-03,1.0,0.0,,,,,,,,
65232020,Deney,2012-02-02,1.0,1.0,1.0,1.0,60.0,900.0,1.0,0.0,0.0,İŞKUR
64067048,Deney,2012-02-14,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
64296021,Kontrol,2012-02-02,1.0,1.0,1.0,1.0,48.0,950.0,,,,
65988007,Kontrol,2012-02-08,1.0,0.0,,0.0,84.0,600.0,1.0,1.0,1.0,İŞKUR
65434040,Deney,2012-02-28,1.0,0.0,,0.0,60.0,800.0,1.0,1.0,0.0,İŞKUR
65358159,Deney,2012-02-01,1.0,0.0,,,,,1.0,1.0,0.0,İŞKUR
67579041,Deney,2012-02-27,1.0,1.0,1.0,1.0,40.0,1500.0,1.0,1.0,1.0,İŞKUR
67407030,Deney,2012-02-20,1.0,0.0,,,,,,,,
65294011,Kontrol,2012-02-09,1.0,0.0,,1.0,48.0,,,,,
67032072,Deney,2012-02-10,1.0,0.0,,1.0,49.0,850.0,0.0,1.0,0.0,İŞKUR
67288017,Kontrol,2012-02-06,1.0,1.0,1.0,1.0,50.0,930.0,1.0,1.0,0.0,İŞKUR
67703008,Kontrol,2012-02-16,1.0,1.0,1.0,1.0,45.0,1000.0,,,,
67034068,Deney,2012-02-06,1.0,1.0,1.0,1.0,48.0,700.0,1.0,1.0,1.0,İŞKUR
67407019,Kontrol,2012-02-07,1.0,1.0,0.0,1.0,60.0,700.0,,,,
67683020,Kontrol,2012-02-09,1.0,0.0,,0.0,48.0,900.0,,,,
65474017,Deney,2012-02-11,1.0,1.0,1.0,1.0,60.0,1500.0,1.0,1.0,1.0,İŞKUR
65042024,Kontrol,2012-02-20,1.0,0.0,,,,,,,,
64358002,Kontrol,2012-02-24,1.0,0.0,,,,,,,,
66086026,Deney,2012-02-01,1.0,1.0,0.0,1.0,40.0,660.0,,,,
67289001,Kontrol,2012-02-07,1.0,0.0,,1.0,54.0,800.0,,,,
67703018,Kontrol,2012-02-23,1.0,0.0,,1.0,50.0,600.0,,,,
64392009,Kontrol,2012-02-24,1.0,1.0,0.0,,,,,,,
64353036,Deney,2012-02-21,1.0,0.0,,1.0,48.0,630.0,0.0,0.0,0.0,İŞKUR
64247009,Kontrol,2012-02-11,1.0,1.0,1.0,1.0,50.0,700.0,,,,
67288001,Kontrol,2012-02-27,1.0,1.0,1.0,1.0,60.0,1500.0,1.0,1.0,1.0,İŞKUR
66809011,Kontrol,2012-02-08,1.0,1.0,1.0,1.0,60.0,,,,,
66891007,Kontrol,2012-02-08,1.0,1.0,1.0,1.0,20.0,700.0,,,,
65686026,Deney,2012-02-02,1.0,0.0,,0.0,50.0,750.0,,,,
64281026,Deney,2012-02-21,1.0,1.0,1.0,1.0,28.0,770.0,0.0,1.0,1.0,İŞKUR
64354009,Kontrol,2012-02-14,1.0,0.0,,0.0,66.0,750.0,1.0,0.0,1.0,Kamu
64431058,Deney,2012-02-18,1.0,0.0,,,,,0.0,1.0,0.0,İŞKUR
65043006,Kontrol,2012-02-24,1.0,0.0,,0.0,42.0,575.0,,,,
67700032,Deney,2012-02-21,1.0,1.0,1.0,1.0,45.0,,,,,
68444041,Deney,2012-02-29,1.0,0.0,,,,,0.0,0.0,0.0,İŞKUR
67843033,Deney,2012-02-17,1.0,1.0,1.0,0.0,50.0,1000.0,1.0,1.0,1.0,İŞKUR
67032024,Kontrol,2012-02-23,1.0,0.0,,,,,,,,
65987016,Kontrol,2012-02-16,1.0,1.0,1.0,1.0,50.0,1200.0,,,,
65984115,Deney,2012-02-09,1.0,1.0,1.0,0.0,60.0,600.0,1.0,1.0,1.0,İŞKUR
67289033,Kontrol,2012-02-10,1.0,0.0,,,,,,,,
65293009,Kontrol,2012-02-01,1.0,1.0,1.0,1.0,48.0,800.0,,,,
65987013,Kontrol,2012-02-14,1.0,0.0,,,,,0.0,0.0,0.0,İŞKUR
65988010,Kontrol,2012-02-07,1.0,0.0,,1.0,70.0,650.0,1.0,1.0,1.0,İŞKUR
65179008,Kontrol,2012-02-02,1.0,0.0,,1.0,40.0,875.0,,,,
65749010,Kontrol,2012-02-24,1.0,1.0,1.0,1.0,60.0,950.0,,,,
66891044,Deney,2012-02-08,1.0,0.0,,,,,,,,
64283018,Kontrol,2012-02-14,1.0,1.0,1.0,0.0,70.0,0.0,,,,
67407027,Deney,2012-02-20,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
67703026,Deney,2012-02-17,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
64295013,Kontrol,2012-02-22,1.0,1.0,1.0,1.0,48.0,750.0,,,,
65179006,Kontrol,2012-02-02,1.0,0.0,,1.0,72.0,900.0,,,,
64297039,Deney,2012-02-07,1.0,0.0,,1.0,48.0,800.0,1.0,1.0,1.0,İŞKUR
64357037,Kontrol,2012-02-20,1.0,0.0,,1.0,52.0,760.0,0.0,1.0,0.0,İŞKUR
67034023,Kontrol,2012-02-12,1.0,1.0,1.0,1.0,66.0,800.0,,,,
66451025,Kontrol,2012-02-03,1.0,0.0,,0.0,48.0,240.0,,,,
66922028,Kontrol,2012-02-10,1.0,1.0,0.0,1.0,60.0,425.0,,,,
59026034,Deney,2012-02-01,1.0,0.0,,0.0,72.0,200.0,,,,
65984080,Deney,2012-02-27,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
66922039,Kontrol,2012-02-05,1.0,0.0,,,,,,,,
68449023,Kontrol,2012-02-10,1.0,0.0,,,,,1.0,1.0,0.0,Kamu
65988027,Deney,2012-02-13,1.0,1.0,1.0,1.0,48.0,500.0,1.0,1.0,1.0,İŞKUR
66809015,Kontrol,2012-02-06,1.0,0.0,,1.0,20.0,500.0,,,,
64300036,Deney,2012-02-17,1.0,0.0,,1.0,48.0,1000.0,1.0,1.0,1.0,İŞKUR
68304077,Deney,2012-02-13,1.0,0.0,,,,,,,,
65687031,Deney,2012-02-08,1.0,0.0,,1.0,63.0,650.0,0.0,1.0,0.0,İŞKUR
64273008,Kontrol,2012-02-13,1.0,0.0,,,,,,,,
67289006,Kontrol,2012-02-10,1.0,0.0,,,,,,,,
64330011,Kontrol,2012-02-15,1.0,1.0,1.0,1.0,40.0,2000.0,,,,
66264023,Deney,2012-02-12,1.0,0.0,,1.0,56.0,,1.0,0.0,0.0,İŞKUR
65358069,Kontrol,2012-02-29,1.0,0.0,,1.0,48.0,700.0,,,,
65232007,Kontrol,2012-02-02,1.0,1.0,0.0,0.0,54.0,190.0,1.0,0.0,1.0,Kamu
66837041,Deney,2012-02-03,1.0,1.0,1.0,1.0,48.0,700.0,1.0,1.0,1.0,
66891018,Kontrol,2012-02-22,1.0,0.0,,1.0,,650.0,,,,
66922057,Deney,2012-02-08,1.0,0.0,,0.0,36.0,700.0,,,,
66891014,Kontrol,2012-02-07,1.0,1.0,1.0,1.0,54.0,700.0,,,,
67034012,Kontrol,2012-02-07,1.0,1.0,1.0,1.0,80.0,900.0,,,,
67032074,Deney,2012-02-14,1.0,0.0,,1.0,45.0,550.0,1.0,1.0,1.0,İŞKUR
65749004,Kontrol,2012-02-11,1.0,1.0,0.0,,,,,,,
