id,grup,takip_anket_tarih,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_20_saat_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,takip_kurs_yeni_yetenekler_ogretti,takip_kurs_yeteneklerimi_sertifikaladi,takip_kurs_is_bulmam_icin_strateji_ogretti,takip_egitimi_kim_verdi
65753036,Deney,2012-01-20,1.0,1.0,1.0,1.0,50.0,600.0,1.0,1.0,1.0,İŞKUR
64174009,Kontrol,2012-01-12,1.0,1.0,1.0,1.0,54.0,1100.0,,,,
65883006,Kontrol,2012-01-24,1.0,0.0,,1.0,60.0,500.0,,,,
64247023,Deney,2012-01-26,1.0,0.0,,0.0,54.0,,1.0,1.0,1.0,İŞKUR
67843050,Deney,2012-01-21,1.0,0.0,,1.0,40.0,0.0,1.0,1.0,1.0,İŞKUR
67842001,Kontrol,2012-01-26,1.0,1.0,1.0,1.0,45.0,2300.0,,,,
68233012,Kontrol,2012-01-13,1.0,0.0,,1.0,70.0,650.0,0.0,1.0,0.0,İŞKUR
67573038,Deney,2012-01-31,1.0,,1.0,1.0,50.0,750.0,1.0,1.0,1.0,İŞKUR
67700050,Deney,2012-01-02,1.0,0.0,,1.0,45.0,1100.0,,,,
65042050,Deney,2012-01-21,1.0,0.0,,1.0,40.0,700.0,1.0,1.0,1.0,İŞKUR
64431031,Deney,2012-01-20,1.0,0.0,,1.0,48.0,650.0,1.0,1.0,1.0,İŞKUR
67803050,Deney,2012-01-26,1.0,1.0,0.0,1.0,60.0,750.0,1.0,1.0,1.0,İŞKUR
67683025,Kontrol,2012-01-07,1.0,0.0,,0.0,30.0,500.0,,,,
65476039,Deney,2012-01-19,1.0,0.0,,0.0,40.0,740.0,1.0,1.0,1.0,İŞKUR
65496014,Kontrol,2012-01-22,1.0,1.0,1.0,1.0,55.0,660.0,,,,
67288019,Kontrol,2012-01-26,1.0,1.0,1.0,1.0,40.0,1500.0,,,,
64186035,Deney,2012-01-26,1.0,1.0,1.0,1.0,48.0,700.0,0.0,1.0,0.0,İŞKUR
67843025,Kontrol,2012-01-23,1.0,1.0,1.0,0.0,20.0,400.0,,,,
65358173,Deney,2012-01-27,1.0,0.0,,1.0,84.0,300.0,0.0,0.0,0.0,İŞKUR
64337050,Deney,2012-01-16,1.0,0.0,,0.0,72.0,350.0,1.0,1.0,1.0,İŞKUR
66542039,Deney,2012-01-27,1.0,0.0,,1.0,60.0,660.0,0.0,1.0,1.0,Kamu
67573031,Deney,2012-01-07,1.0,0.0,,1.0,56.0,750.0,1.0,1.0,1.0,İŞKUR
68444010,Kontrol,2012-01-28,1.0,1.0,1.0,0.0,45.0,,1.0,1.0,1.0,Kamu
67683038,Deney,2012-01-21,1.0,1.0,1.0,0.0,45.0,,1.0,1.0,0.0,İŞKUR
66837037,Deney,2012-01-17,1.0,1.0,1.0,1.0,65.0,702.0,,,,
66451012,Kontrol,2012-01-28,1.0,0.0,,,,,,,,
