id,grup,sehir,cinsiyet,dogum_yili,egitim_seviye,baseline_son_4_hafta_gelir,baseline_hafta_20+_calisma,baseline_sgk_kaydi,baseline_haftalik_calisma_saat_ort,baseline_aylik_gelir_ort,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_hafta_20+_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,kursu_veren_kurum,kursu_tamamlama_durumu,sertifika_alma_durumu,bilgisayar_kursu,muhasebe_kursu,kursun_suresi_saat,2012_yil_sonu_sgk,2012_yil_sonu_resmi_gelir,ocak_2012_sgk,agustos_2013_sgk,agustos_2013_gelir,mesleki_durum
67289078,Deney,Ankara,Kadin,1977.0,Lise (Lise),0.0,,,,,1.0,0,,,,,Kamu Ofisi,0.0,0.0,1,1.0,300.0,0,0.0,0.0,0.0,0.0,0.0
67573047,Deney,Istanbul,Kadin,1990.0,Lise (Lise),0.0,,0,54.0,850.0,1.0,1,1.0,1,50.0,700.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0,1,0.0,480.0,1,892.0,1.0,1.0,1194.84,45.0
65476030,Deney,Eskisehir,Erkek,1982.0,Universite - Lisans Derecesi,0.0,,,,,1.0,1,1.0,1,54.0,950.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0,0,0.0,600.0,1,447.17,1.0,1.0,2694.88,43.0
65476002,Kontrol,Eskisehir,Erkek,1984.0,Universite - Lisans Derecesi,0.0,,0,56.0,450.0,1.0,1,0.0,1,25.0,500.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,0,0.0,600.0,0,0.0,0.0,0.0,0.0,55.0
60929002,Kontrol,Istanbul,Erkek,1993.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,,1.0,0,,,,,Universite,,,0,0.0,350.0,1,444.4,1.0,0.0,0.0,0.0
66891011,Kontrol,Antalya,Erkek,1981.0,Universite - Lisans Derecesi,0.0,,1,60.0,1500.0,1.0,1,1.0,1,40.0,2500.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,0,0.0,560.0,0,0.0,0.0,0.0,0.0,55.0
68097016,Kontrol,Ankara,Kadin,1992.0,Lise (Lise),0.0,,0,45.0,400.0,1.0,0,,,,,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,0,1.0,300.0,0,0.0,0.0,0.0,0.0,0.0
64297017,Kontrol,Manisa,Erkek,1979.0,Lise (Lise),0.0,,1,48.0,610.0,1.0,1,1.0,1,40.0,1200.0,Mesleki Egitim Ve Ogretim Merkezi (Mem),,,0,0.0,288.0,0,0.0,0.0,0.0,0.0,55.0
65211026,Deney,Denizli,Kadin,1984.0,2 Yillik Yuksek Ogrenim,0.0,,1,56.0,550.0,1.0,0,,0,48.0,700.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0,1,1.0,150.0,1,3.0,1.0,0.0,0.0,0.0
67803047,Deney,Istanbul,Kadin,1989.0,Meslek Yuksekokulu,0.0,,0,60.0,650.0,1.0,0,,,,,Ortaokul (Universite),0.0,0.0,0,0.0,528.0,0,0.0,1.0,0.0,0.0,0.0
68096009,Kontrol,Ankara,Erkek,1989.0,Lise (Lise),0.0,,0,75.0,1000.0,1.0,0,,0,60.0,1000.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,0,1.0,300.0,0,0.0,1.0,1.0,1469.53,0.0
65753007,Kontrol,Eskisehir,Kadin,1990.0,Lise (Lise),0.0,,,,,1.0,1,1.0,1,50.0,660.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,1,1.0,400.0,1,932.87,1.0,0.0,0.0,23.0
65481022,Deney,Kirikkale,Erkek,1992.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0,72.0,240.0,1.0,0,,0,60.0,500.0,Meslek Lisesi,1.0,1.0,0,0.0,300.0,0,0.0,0.0,1.0,1021.5,0.0
64067011,Kontrol,Elazig,Erkek,1992.0,Lise (Lise),0.0,,,,,1.0,0,,,,,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,0,0.0,160.0,1,1.0,0.0,1.0,1140.84,0.0
64343010,Kontrol,Kocaeli,Erkek,1978.0,Lise (Lise),0.0,,0,105.0,750.0,1.0,0,,1,55.0,1000.0,Kamu Ofisi,,,1,0.0,160.0,0,0.0,1.0,1.0,2511.6,0.0
64345003,Kontrol,Kocaeli,Erkek,1989.0,2 Yillik Yuksek Ogrenim,1.0,1.0,1,30.0,700.0,1.0,1,0.0,1,42.0,600.0,Kamu Ofisi,,,0,0.0,208.0,1,5.0,0.0,1.0,1237.52,69.0
63066017,Kontrol,Istanbul,Erkek,1982.0,Lise (Lise),1.0,0.0,1,84.0,900.0,1.0,0,,1,72.0,2000.0,Universite,,,0,0.0,360.0,1,1.0,1.0,0.0,0.0,0.0
65882003,Kontrol,Usak,Kadin,1971.0,Ilkokul (5 Yil),1.0,0.0,1,48.0,600.0,1.0,1,1.0,1,60.0,660.0,Meslek Lisesi,,,0,0.0,184.0,1,891.5,1.0,1.0,1232.61,32.0
64337030,Deney,Kocaeli,Kadin,1965.0,Ilkokul (5 Yil),0.0,,,,,1.0,1,1.0,0,72.0,500.0,Kamu Ofisi,0.0,0.0,1,0.0,210.0,0,0.0,0.0,0.0,0.0,38.0
68357038,Deney,Hatay,Erkek,1989.0,Lise (Lise),0.0,,,,,1.0,0,,,,,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0,0,1.0,320.0,0,0.0,0.0,0.0,0.0,0.0
