id,2012_yil_sonu_sgk,2012_yil_sonu_resmi_gelir,ocak_2012_sgk,agustos_2013_sgk,agustos_2013_gelir,mesleki_durum
67803013,0,0.0,0.0,0.0,0.0,
64358002,1,891.5,1.0,1.0,1021.5,0.0
67845026,1,448.4,1.0,0.0,0.0,0.0
66086026,1,900.97,0.0,1.0,948.82,45.0
67289001,1,5.0,0.0,0.0,0.0,0.0
67703018,1,888.5,0.0,0.0,0.0,0.0
64392009,1,953.56,0.0,1.0,1021.5,34.0
64353036,1,4.0,0.0,0.0,0.0,0.0
64247009,1,1117.56,0.0,1.0,1412.0,23.0
67288001,1,1505.0,1.0,1.0,2100.0,50.0
66809011,1,891.5,1.0,1.0,1021.5,45.0
64343007,1,1004.9,1.0,0.0,0.0,
68357024,0,0.0,0.0,1.0,510.75,0.0
66891007,1,590.56,1.0,0.0,0.0,69.0
65686026,0,0.0,0.0,0.0,0.0,0.0
64281026,1,1004.65,0.0,1.0,1217.22,49.0
64354009,0,0.0,0.0,0.0,0.0,0.0
64431058,0,0.0,0.0,1.0,1022.0,0.0
68096010,1,2.0,0.0,0.0,0.0,0.0
65043006,0,0.0,0.0,0.0,0.0,0.0
65882040,1,267.1,1.0,1.0,1123.65,0.0
67700032,1,2105.0,0.0,1.0,2974.37,45.0
68444041,0,0.0,0.0,1.0,1818.41,0.0
67843033,0,0.0,0.0,1.0,749.1,33.0
68441030,0,0.0,0.0,0.0,0.0,0.0
67032024,0,0.0,0.0,0.0,0.0,0.0
65987016,1,1471.66,1.0,1.0,1963.33,55.0
65984115,0,0.0,0.0,0.0,0.0,38.0
67289033,0,0.0,0.0,0.0,0.0,0.0
65293009,1,1.0,0.0,1.0,1327.95,49.0
65987013,1,1.0,0.0,0.0,0.0,0.0
62617018,1,911.95,1.0,1.0,1133.0,49.0
66809040,1,1.0,1.0,0.0,0.0,
65988010,1,2.0,1.0,0.0,0.0,0.0
65179008,0,0.0,1.0,1.0,593.79,0.0
65358169,0,0.0,0.0,0.0,0.0,0.0
67573027,1,4.0,1.0,1.0,1245.03,0.0
64431012,1,5.0,1.0,1.0,985.18,43.0
65984077,0,0.0,0.0,0.0,0.0,0.0
64297014,1,891.5,0.0,1.0,1021.5,34.0
65749010,1,395.0,1.0,0.0,0.0,34.0
67579046,1,2105.0,1.0,1.0,4519.73,45.0
66891044,0,0.0,1.0,1.0,1669.73,0.0
66837042,1,5.0,1.0,1.0,1274.73,0.0
67460036,1,299.66,1.0,0.0,0.0,55.0
64283018,0,0.0,0.0,0.0,0.0,23.0
67288029,1,895.34,1.0,1.0,1086.0,
67407027,1,955.0,1.0,1.0,1021.5,0.0
67703026,1,838.28,0.0,0.0,0.0,0.0
64295013,1,961.33,1.0,1.0,956.14,45.0
65179006,0,0.0,1.0,0.0,0.0,0.0
64297039,0,0.0,1.0,1.0,1725.16,0.0
67289077,0,0.0,0.0,1.0,240.33,0.0
68097039,1,902.0,1.0,0.0,0.0,0.0
64357037,0,0.0,1.0,0.0,0.0,0.0
67034023,1,918.73,0.0,1.0,3112.22,32.0
68405006,0,0.0,0.0,0.0,0.0,0.0
66451025,0,0.0,0.0,0.0,0.0,0.0
68097046,0,0.0,0.0,0.0,0.0,0.0
66922028,1,485.25,0.0,1.0,68.73,45.0
59026034,0,0.0,0.0,1.0,1058.94,0.0
65984080,0,0.0,0.0,0.0,0.0,0.0
65984106,1,888.5,1.0,0.0,0.0,43.0
