id,kursu_veren_kurum,kursu_tamamlama_durumu,sertifika_alma_durumu
68357050,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67034071,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64344039,Kamu Ofisi,0.0,0.0
65043042,Kamu Ofisi,1.0,1.0
66922006,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
66922031,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65358083,Halk Egitim Merkezi (Hem),,
67032019,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64174018,Universite,,
66451008,Stk'Lar,,
64338017,Kamu Ofisi,,
67034004,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67034022,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64067019,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68405042,Kamu Ofisi,0.0,0.0
65358048,Halk Egitim Merkezi (Hem),,
65493017,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65358100,Halk Egitim Merkezi (Hem),,
64343033,Kamu Ofisi,1.0,1.0
60984013,Universite,0.0,0.0
65481003,Meslek Lisesi,,
64298035,Meslek Lisesi,1.0,1.0
64373005,"Kamu Ofisi, Meslek Lisesi",,
64352010,Kamu Ofisi,,
68158054,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
65211012,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
66922027,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64244031,Meslek Lisesi,1.0,1.0
68097001,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68097030,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65042048,Kamu Ofisi,1.0,1.0
67407044,Mesleki Egitim Ve Ogretim Merkezi (Mem),0.0,0.0
64372001,"Meslek Lisesi, Devlet Dairesi",,
64264016,Kamu Ofisi,,
65232020,Meslek Lisesi,1.0,1.0
64067048,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
