id,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_hafta_20+_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort
68158035,1.0,0.0,,1.0,40.0,700.0
65434007,1.0,0.0,,1.0,60.0,600.0
68096036,1.0,1.0,0.0,1.0,55.0,701.0
64343020,1.0,1.0,1.0,0.0,72.0,700.0
64357067,1.0,1.0,1.0,1.0,48.0,850.0
67803039,0.0,,,,,
68302033,1.0,0.0,,,,
64283008,1.0,1.0,1.0,1.0,50.0,1000.0
67032005,1.0,0.0,,0.0,45.0,700.0
67034039,1.0,1.0,0.0,,,
67573017,1.0,0.0,,0.0,60.0,700.0
65882010,1.0,0.0,,1.0,54.0,400.0
67288032,1.0,1.0,1.0,1.0,45.0,680.0
64281037,1.0,0.0,,1.0,54.0,1050.0
64373038,1.0,0.0,,,,
64373014,1.0,0.0,,1.0,48.0,650.0
64431038,1.0,0.0,,1.0,48.0,650.0
67034017,1.0,1.0,0.0,1.0,72.0,800.0
64186049,1.0,1.0,1.0,1.0,60.0,1300.0
68119032,1.0,0.0,,1.0,60.0,300.0
64431034,1.0,1.0,1.0,1.0,48.0,700.0
64284011,1.0,0.0,,1.0,40.0,1600.0
64345004,1.0,1.0,1.0,1.0,45.0,750.0
64282021,1.0,1.0,1.0,1.0,45.0,750.0
67034065,1.0,0.0,,,,
68304039,1.0,0.0,,,,
65358092,0.0,,,,,
68097045,1.0,1.0,1.0,1.0,45.0,1000.0
67289047,1.0,0.0,,1.0,20.0,360.0
64247021,1.0,0.0,,,,
67700026,0.0,,,,,
64352018,1.0,1.0,1.0,1.0,60.0,1000.0
66922025,1.0,1.0,1.0,1.0,35.0,2000.0
66891035,0.0,,,,,
66264021,1.0,1.0,1.0,0.0,70.0,750.0
64357041,1.0,0.0,,,,
65232024,1.0,0.0,,1.0,45.0,850.0
64283027,1.0,0.0,,,,
68097013,1.0,0.0,,1.0,56.0,800.0
68357009,1.0,1.0,0.0,1.0,20.0,400.0
68304073,1.0,0.0,,1.0,60.0,650.0
66086041,1.0,0.0,,0.0,60.0,900.0
67845007,1.0,0.0,,1.0,40.0,700.0
65358101,1.0,0.0,,,,
68357050,0.0,,,,,
67034071,1.0,1.0,1.0,1.0,48.0,700.0
64344039,1.0,0.0,,1.0,30.0,800.0
65043042,1.0,1.0,1.0,1.0,51.0,950.0
66922006,0.0,,,,,
66922031,1.0,1.0,0.0,,,
65358083,1.0,0.0,,,,
67032019,0.0,,,,,
64174018,1.0,1.0,0.0,,,
66451008,1.0,0.0,,,,
64338017,1.0,1.0,1.0,1.0,56.0,830.0
67034004,0.0,,,,,
67034022,1.0,0.0,,1.0,54.0,850.0
64067019,1.0,0.0,,,,
68405042,1.0,0.0,,,,
65358048,1.0,0.0,,,,
65493017,1.0,0.0,,,,
65358100,1.0,0.0,,,,
64343033,1.0,1.0,1.0,0.0,25.0,99999.0
60984013,1.0,0.0,,,,
65481003,1.0,1.0,1.0,1.0,48.0,810.0
64298035,1.0,0.0,,0.0,20.0,1000.0
64373005,1.0,1.0,1.0,1.0,65.0,1000.0
64352010,1.0,0.0,,1.0,60.0,660.0
68158054,1.0,1.0,1.0,1.0,60.0,1000.0
65211012,1.0,1.0,1.0,1.0,48.0,700.0
66922027,1.0,1.0,1.0,1.0,45.0,970.0
64244031,1.0,0.0,,1.0,70.0,850.0
68097001,1.0,1.0,1.0,1.0,60.0,900.0
68097030,0.0,,,,,
65042048,1.0,0.0,,0.0,999.0,99999.0
67407044,1.0,1.0,1.0,1.0,48.0,1000.0
64372001,1.0,1.0,1.0,1.0,48.0,700.0
64264016,1.0,0.0,,,,
65232020,1.0,1.0,1.0,1.0,60.0,900.0
64067048,1.0,0.0,,,,
64296021,1.0,1.0,1.0,1.0,48.0,950.0
65753029,1.0,1.0,1.0,1.0,54.0,750.0
65988007,1.0,0.0,,0.0,84.0,600.0
65434040,1.0,0.0,,0.0,60.0,800.0
67805003,0.0,,,,,
65358159,1.0,0.0,,,,
67573048,1.0,1.0,1.0,0.0,35.0,200.0
67579041,1.0,1.0,1.0,1.0,40.0,1500.0
67407030,1.0,0.0,,,,
67579038,1.0,1.0,1.0,0.0,98.0,1500.0
65294011,1.0,0.0,,1.0,48.0,99999.0
